                      (*)   mesure a 300k
                      (**)  isomere le plus stable
                      (***) enthalpie inconnue
87 88 h       h       h2                             5.00e-17  0.5      0.00   0 !
  -                   -
  -                   - cosmic-ray direct processes
  -                   -
anh16 nh2     phosec  nh2+    electr                 1.35E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 nh3     phosec  nh      h2                     3.13E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 nh3     phosec  nh2     h                      7.65E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 nh3     phosec  nh3+    electr                 2.17E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 no      phosec  o       n                      2.99E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 no      phosec  no+     electr                 2.37E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 o       phosec  o+      electr                 2.70E+00  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 o2      phosec  o       o                      7.81E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 o2      phosec  o2+     electr                 2.79E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 o2+     phosec  o       o+                     6.97E+01  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ocs     phosec  s       co                     5.23E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 ocs     phosec  ocs+    electr                 5.58E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 oh      phosec  o       h                      4.75E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 oh+     phosec  o+      h                      8.57E+00  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 s       phosec  s+      electr                 7.98E+02  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
anh16 sh      phosec  s       h                      1.07E+03  0.00     0.00   2 ! Heays, Bosman, van Dishoeck 2017
