#---------1---------2---------3---------4---------5---------6---------7-------------------------8
 93  c4h3+     3 4000 0000 00000 000000  1   .000E+00  290.870  NOINCHIFOUND                   ! DHf: 1998LIA (298K) hcccch2+
 94  o+        0 0010 0000 00000 000000  1   .000E+00  373.024  KLZXPVWVDXGFTD-UHFFFAOYSA-N    ! DHf: 1998CHA
 95  oh+       1 0010 0000 00000 000000  1   .000E+00  313.308  MSCUNRCIQGLERU-UHFFFAOYSA-N    ! DHf: 1998CHA
 96  h2o+      2 0010 0000 00000 000000  1   .000E+00  233.724  RECVMTHOQWMYFX-UHFFFAOYSA-N    ! DHf: 1988LIA
 97  h3o+      3 0010 0000 00000 000000  1   .000E+00  139.099  XLYOFNOQVPJJNP-UHFFFAOYSA-O    ! DHf: 1998CHA
 98  o2+       0 0020 0000 00000 000000  1   .000E+00  278.370  KMHJKRGRIJONSV-UHFFFAOYSA-N    ! DHf: 1998CHA
 99  co+       0 1010 0000 00000 000000  1   .000E+00  295.966  BOJPITGAFFYFJK-UHFFFAOYSA-N    ! DHf: 1988LIA
100  hco+      1 1010 0000 00000 000000  1   .000E+00  197.706  XPRMKTHGXOVKEH-UHFFFAOYSA-N    ! DHf: 1998CHA
101  hoc+      1 1010 0000 00000 000000  1   .000E+00  230.163  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
102  h2co+     2 1010 0000 00000 000000  1   .000E+00  225.741  NOINCHIFOUND                   ! DHf: 1988LIA
103  h3co+     3 1010 0000 00000 000000  1   .000E+00  168.021  NOINCHIFOUND                   ! DHf: 1988LIA (298K) ch2oh+, most stable isomer
104  ch3oh+    4 1010 0000 00000 000000  1   .000E+00  204.637  NOINCHIFOUND                   ! DHf: 1988LIA
105  ch5o+     5 1010 0000 00000 000000  1   .000E+00  135.516  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
106  c2ho+     1 2010 0000 00000 000000  1   .000E+00  261.950  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
107  c2h3o+    3 2010 0000 00000 000000  1   .000E+00  156.071  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
108  co2+      0 1020 0000 00000 000000  1   .000E+00  223.638  PCDPTONYKSNEJX-UHFFFAOYSA-N    ! DHf: 1988LIA
109  hco2+     1 1020 0000 00000 000000  1   .000E+00  140.774  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
110  n+        0 0100 0000 00000 000000  1   .000E+00  447.694  DELRCXTYJVVNEW-UHFFFAOYSA-N    ! DHf: 1998CHA
111  nh+       1 0100 0000 00000 000000  1   .000E+00  401.076  RCELGLLFWPQDDS-UHFFFAOYSA-N    ! DHf: 1988LIA
112  nh2+      2 0100 0000 00000 000000  1   .000E+00  302.677  QTLMMXDMXKCANI-UHFFFAOYSA-N    ! DHf: 1988LIA
113  nh3+      3 0100 0000 00000 000000  1   .000E+00  224.904  NOINCHIFOUND                   ! DHf: 1988LIA
114  nh4+      4 0100 0000 00000 000000  1   .000E+00  150.574  NOINCHIFOUND                   ! DHf: 1988LIA (298K)
115  n2+       0 0200 0000 00000 000000  1   .000E+00  359.298  OCLMUTJUZGFVFC-UHFFFAOYSA-N    ! DHf: 1998CHA
